Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass5-5-fold,0.972,0.972,0.972,0.972,0.972,0.972,0.900,0.900,0.900,0.900,0.900,0.900,0.713,0.713,0.713,0.713,0.713,0.713,0.774,0.774,0.774,0.774,0.774,0.774,0.930,0.930,0.930,0.930,0.930,0.930
yeast-2_vs_8-5-fold,0.389,0.362,0.374,0.395,0.550,0.351,0.950,0.950,0.950,0.950,0.850,0.950,0.192,0.160,0.161,0.192,0.200,0.189,0.229,0.210,0.211,0.230,0.242,0.225,0.534,0.503,0.519,0.541,0.654,0.490
yeast4-5-fold,0.168,0.154,0.167,0.164,0.290,0.143,0.962,0.962,0.962,0.962,0.962,0.980,0.038,0.038,0.038,0.038,0.045,0.038,0.074,0.073,0.074,0.074,0.086,0.073,0.361,0.344,0.360,0.356,0.496,0.323
winequality-red-4-5-fold,0.936,0.935,0.935,0.935,0.935,0.939,0.131,0.131,0.131,0.131,0.131,0.133,0.115,0.111,0.111,0.111,0.111,0.129,0.121,0.119,0.119,0.119,0.119,0.126,0.345,0.345,0.345,0.345,0.345,0.312
poker-9_vs_7-5-fold,0.926,0.926,0.926,0.926,0.926,0.926,0.100,0.100,0.100,0.100,0.100,0.100,0.200,0.200,0.200,0.200,0.200,0.200,0.133,0.133,0.133,0.133,0.133,0.133,0.141,0.141,0.141,0.141,0.141,0.141
yeast-1-2-8-9_vs_7-5-fold,0.117,0.115,0.116,0.117,0.140,0.061,1.000,1.000,1.000,1.000,1.000,1.000,0.035,0.035,0.035,0.035,0.036,0.033,0.067,0.067,0.067,0.067,0.069,0.063,0.289,0.286,0.288,0.289,0.327,0.171
abalone-3_vs_11-5-fold,1.000,1.000,1.000,1.000,1.000,0.904,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.261,1.000,1.000,1.000,1.000,1.000,0.408,1.000,1.000,1.000,1.000,1.000,0.949
winequality-white-9_vs_4-5-fold,0.964,0.964,0.964,0.964,0.964,0.970,0.400,0.400,0.400,0.400,0.400,0.400,0.300,0.300,0.300,0.300,0.300,0.300,0.333,0.333,0.333,0.333,0.333,0.333,0.397,0.397,0.397,0.397,0.397,0.397
yeast5-5-fold,0.671,0.620,0.650,0.669,0.790,0.542,1.000,1.000,1.000,1.000,1.000,0.978,0.084,0.074,0.079,0.084,0.125,0.062,0.154,0.137,0.147,0.154,0.222,0.116,0.813,0.779,0.799,0.811,0.885,0.715
winequality-red-8_vs_6-5-fold,0.948,0.947,0.947,0.947,0.947,0.968,0.200,0.250,0.250,0.250,0.250,0.200,0.150,0.160,0.160,0.160,0.160,0.233,0.171,0.194,0.194,0.194,0.194,0.213,0.276,0.373,0.373,0.373,0.373,0.278
ecoli-0-1-3-7_vs_2-6-5-fold,0.943,0.908,0.911,0.911,0.929,0.876,0.700,0.700,0.700,0.700,0.700,0.700,0.240,0.193,0.196,0.196,0.219,0.165,0.327,0.260,0.264,0.264,0.297,0.217,0.716,0.696,0.698,0.698,0.708,0.679
abalone-17_vs_7-8-9-10-5-fold,0.816,0.816,0.816,0.816,0.816,0.814,0.450,0.450,0.450,0.450,0.450,0.468,0.063,0.063,0.063,0.063,0.063,0.065,0.109,0.109,0.109,0.109,0.109,0.114,0.604,0.604,0.604,0.604,0.604,0.615
abalone-21_vs_8-5-fold,0.842,0.843,0.842,0.842,0.843,0.850,0.733,0.733,0.733,0.733,0.733,0.733,0.131,0.132,0.131,0.131,0.132,0.147,0.214,0.214,0.214,0.214,0.214,0.232,0.783,0.784,0.783,0.783,0.784,0.787
yeast6-5-fold,0.316,0.292,0.306,0.314,0.395,0.249,1.000,1.000,1.000,1.000,0.943,0.971,0.034,0.033,0.033,0.034,0.036,0.030,0.065,0.063,0.064,0.065,0.069,0.058,0.544,0.520,0.534,0.542,0.590,0.460
winequality-white-3_vs_7-5-fold,0.967,0.964,0.964,0.964,0.964,0.982,0.500,0.500,0.500,0.500,0.500,0.650,0.377,0.370,0.370,0.370,0.370,0.670,0.414,0.407,0.407,0.407,0.407,0.621,0.689,0.689,0.689,0.689,0.689,0.784
winequality-red-8_vs_6-7-5-fold,0.971,0.966,0.966,0.966,0.966,0.973,0.133,0.133,0.133,0.133,0.133,0.200,0.057,0.057,0.057,0.057,0.057,0.267,0.080,0.080,0.080,0.080,0.080,0.189,0.161,0.161,0.161,0.161,0.161,0.277
abalone-19_vs_10-11-12-13-5-fold,0.827,0.830,0.827,0.827,0.830,0.829,0.143,0.143,0.143,0.143,0.143,0.143,0.004,0.004,0.004,0.004,0.004,0.004,0.008,0.008,0.008,0.008,0.008,0.008,0.076,0.078,0.076,0.076,0.078,0.078
winequality-white-3-9_vs_5-5-fold,0.968,0.967,0.967,0.967,0.967,0.968,0.320,0.320,0.320,0.320,0.320,0.320,0.199,0.183,0.183,0.183,0.183,0.218,0.239,0.229,0.229,0.229,0.229,0.256,0.484,0.483,0.483,0.483,0.483,0.493
poker-8-9_vs_6-5-fold,0.983,0.983,0.983,0.983,0.983,0.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
shuttle-2_vs_5-5-fold,0.918,0.818,0.888,0.871,0.881,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.171,0.077,0.124,0.107,0.125,1.000,0.288,0.143,0.220,0.192,0.219,1.000,0.957,0.903,0.941,0.932,0.937,1.000
winequality-red-3_vs_5-5-fold,0.970,0.971,0.971,0.971,0.971,0.962,0.200,0.300,0.300,0.300,0.300,0.200,0.100,0.167,0.167,0.167,0.167,0.100,0.130,0.210,0.210,0.210,0.210,0.130,0.279,0.420,0.420,0.420,0.420,0.279
abalone-20_vs_8-9-10-5-fold,0.839,0.839,0.839,0.839,0.839,0.832,0.427,0.427,0.427,0.427,0.427,0.387,0.036,0.036,0.036,0.036,0.036,0.032,0.066,0.066,0.066,0.066,0.066,0.058,0.589,0.589,0.589,0.589,0.589,0.553
poker-8-9_vs_5-5-fold,0.988,0.988,0.988,0.988,0.988,0.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
poker-8_vs_6-5-fold,0.988,0.988,0.988,0.988,0.988,0.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
abalone19-5-fold,0.798,0.798,0.798,0.798,0.798,0.816,0.224,0.224,0.224,0.224,0.224,0.190,0.009,0.009,0.009,0.009,0.009,0.008,0.017,0.017,0.017,0.017,0.017,0.016,0.365,0.365,0.365,0.365,0.365,0.338
total wins,15.633,4.300,3.800,4.133,20.633,33.500,10.200,12.200,10.700,10.700,10.300,27.900,13.200,4.867,4.367,4.700,21.200,33.667,13.200,5.117,4.117,4.450,21.450,33.667,16.250,6.167,5.417,5.750,22.750,25.667
