Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
abalone-19_vs_10-11-12-13-5-fold,0.980,0.980,0.980,0.980,0.980,0.980,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
winequality-white-3-9_vs_5-5-fold,0.983,0.982,0.982,0.983,0.983,0.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
poker-8-9_vs_6-5-fold,0.983,0.987,0.991,0.987,0.984,1.000,0.000,0.240,0.480,0.200,0.040,1.000,0.000,0.600,0.800,0.600,0.200,1.000,0.000,0.343,0.592,0.295,0.067,1.000,0.000,0.379,0.615,0.342,0.089,1.000
shuttle-2_vs_5-5-fold,0.999,1.000,1.000,1.000,0.999,0.999,0.980,1.000,1.000,1.000,1.000,0.938,0.982,1.000,1.000,1.000,0.967,1.000,0.980,1.000,1.000,1.000,0.982,0.967,0.990,1.000,1.000,1.000,1.000,0.968
winequality-red-3_vs_5-5-fold,0.984,0.986,0.984,0.984,0.986,0.986,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
abalone-20_vs_8-9-10-5-fold,0.986,0.986,0.986,0.986,0.987,0.987,0.000,0.000,0.000,0.000,0.040,0.040,0.000,0.000,0.000,0.000,0.200,0.200,0.000,0.000,0.000,0.000,0.067,0.067,0.000,0.000,0.000,0.000,0.089,0.089
poker-8-9_vs_5-5-fold,0.988,0.988,0.988,0.988,0.988,0.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
poker-8_vs_6-5-fold,0.988,0.989,0.991,0.989,0.988,0.998,0.000,0.050,0.167,0.050,0.000,0.850,0.000,0.200,0.400,0.200,0.000,1.000,0.000,0.080,0.233,0.080,0.000,0.880,0.000,0.100,0.257,0.100,0.000,0.900
abalone19-5-fold,0.992,0.992,0.992,0.992,0.992,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
total wins,11.767,16.600,10.217,11.633,15.517,16.267,12.550,15.967,9.500,10.000,16.883,17.100,16.400,16.233,9.350,8.683,16.733,14.600,13.567,15.650,10.183,11.850,14.817,15.933,15.567,13.650,10.183,10.850,14.817,16.933
