Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
vehicle3-5-fold,0.751,0.785,0.783,0.748,0.791,0.775,0.095,0.430,0.335,0.066,0.453,0.359,0.260,0.593,0.634,0.419,0.613,0.581,0.119,0.496,0.434,0.110,0.516,0.442,0.193,0.619,0.557,0.220,0.636,0.570
glass-0-1-2-3_vs_4-5-6-5-fold,0.879,0.930,0.925,0.916,0.935,0.935,0.507,0.845,0.827,0.807,0.844,0.825,0.950,0.864,0.858,0.850,0.880,0.909,0.648,0.850,0.834,0.816,0.859,0.857,0.699,0.897,0.884,0.871,0.900,0.892
vehicle0-5-fold,0.887,0.968,0.968,0.920,0.965,0.955,0.703,0.949,0.955,0.789,0.945,0.909,0.796,0.923,0.918,0.857,0.913,0.902,0.740,0.934,0.935,0.820,0.927,0.905,0.811,0.961,0.963,0.869,0.957,0.939
ecoli1-5-fold,0.893,0.893,0.881,0.881,0.878,0.872,0.742,0.729,0.755,0.728,0.742,0.663,0.794,0.793,0.749,0.767,0.759,0.763,0.764,0.758,0.746,0.740,0.742,0.704,0.833,0.827,0.830,0.819,0.823,0.786
new-thyroid1-5-fold,0.944,0.986,0.991,0.986,0.991,0.986,0.714,0.971,0.971,0.943,0.971,0.971,0.956,0.950,0.975,0.975,0.975,0.950,0.792,0.958,0.971,0.956,0.971,0.958,0.831,0.980,0.982,0.968,0.982,0.980
ecoli2-5-fold,0.911,0.911,0.905,0.911,0.914,0.899,0.615,0.653,0.615,0.651,0.673,0.615,0.757,0.729,0.732,0.741,0.751,0.703,0.677,0.686,0.666,0.691,0.707,0.651,0.767,0.786,0.765,0.786,0.801,0.762
segment0-5-fold,0.997,0.997,0.997,0.997,0.992,0.994,0.982,0.985,0.985,0.985,0.970,0.970,0.997,0.997,0.997,0.997,0.976,0.985,0.989,0.991,0.991,0.991,0.973,0.977,0.991,0.992,0.992,0.992,0.983,0.983
glass6-5-fold,0.865,0.944,0.944,0.944,0.944,0.953,0.000,0.753,0.687,0.687,0.753,0.900,0.000,0.820,0.887,0.887,0.820,0.811,0.000,0.781,0.768,0.768,0.781,0.851,0.000,0.854,0.820,0.820,0.854,0.930
yeast3-5-fold,0.945,0.949,0.947,0.945,0.945,0.929,0.618,0.705,0.661,0.643,0.662,0.556,0.841,0.807,0.820,0.817,0.807,0.728,0.708,0.749,0.728,0.712,0.721,0.622,0.778,0.829,0.803,0.790,0.802,0.726
ecoli3-5-fold,0.920,0.923,0.920,0.920,0.920,0.917,0.429,0.543,0.486,0.429,0.486,0.457,0.700,0.650,0.653,0.700,0.653,0.643,0.511,0.586,0.550,0.511,0.550,0.531,0.633,0.717,0.679,0.633,0.679,0.661
