Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
winequality-white-9_vs_4-5-fold,0.952,0.976,0.971,0.958,0.982,0.988,0.000,0.600,0.600,0.400,0.600,0.600,0.000,0.500,0.500,0.300,0.600,0.600,0.000,0.533,0.533,0.333,0.600,0.600,0.000,0.597,0.597,0.397,0.600,0.600
yeast5-5-fold,0.979,0.982,0.976,0.978,0.980,0.976,0.719,0.725,0.700,0.675,0.658,0.656,0.635,0.729,0.610,0.665,0.712,0.619,0.655,0.714,0.633,0.641,0.660,0.623,0.831,0.845,0.824,0.806,0.798,0.799
winequality-red-8_vs_6-5-fold,0.956,0.962,0.963,0.965,0.957,0.950,0.100,0.150,0.200,0.150,0.200,0.250,0.140,0.200,0.367,0.367,0.180,0.139,0.111,0.164,0.234,0.204,0.189,0.173,0.198,0.297,0.339,0.299,0.337,0.295
ecoli-0-1-3-7_vs_2-6-5-fold,0.982,0.986,0.982,0.979,0.979,0.982,0.700,0.700,0.700,0.700,0.600,0.700,0.600,0.633,0.567,0.500,0.500,0.533,0.633,0.660,0.600,0.560,0.533,0.593,0.736,0.738,0.736,0.735,0.678,0.736
abalone-17_vs_7-8-9-10-5-fold,0.972,0.973,0.965,0.969,0.971,0.972,0.376,0.329,0.327,0.397,0.345,0.294,0.433,0.442,0.320,0.390,0.399,0.398,0.400,0.371,0.310,0.387,0.370,0.336,0.605,0.565,0.558,0.621,0.582,0.533
abalone-21_vs_8-5-fold,0.983,0.990,0.985,0.985,0.988,0.986,0.500,0.700,0.567,0.567,0.633,0.600,0.767,0.833,0.850,0.850,0.833,0.833,0.587,0.753,0.647,0.647,0.693,0.660,0.697,0.830,0.745,0.745,0.782,0.756
yeast6-5-fold,0.976,0.974,0.974,0.972,0.972,0.972,0.600,0.543,0.543,0.571,0.457,0.457,0.488,0.446,0.436,0.428,0.412,0.411,0.532,0.482,0.474,0.484,0.429,0.432,0.739,0.706,0.701,0.736,0.653,0.653
winequality-white-3_vs_7-5-fold,0.976,0.978,0.983,0.979,0.981,0.980,0.200,0.150,0.250,0.200,0.300,0.250,0.233,0.400,0.800,0.450,0.733,0.467,0.214,0.213,0.373,0.263,0.408,0.309,0.282,0.299,0.441,0.341,0.482,0.373
winequality-red-8_vs_6-7-5-fold,0.972,0.963,0.964,0.967,0.967,0.965,0.100,0.100,0.050,0.100,0.217,0.283,0.167,0.133,0.100,0.100,0.375,0.230,0.124,0.114,0.067,0.097,0.233,0.250,0.199,0.199,0.100,0.198,0.412,0.468
abalone-19_vs_10-11-12-13-5-fold,0.966,0.966,0.959,0.964,0.965,0.964,0.029,0.000,0.029,0.029,0.057,0.000,0.022,0.000,0.029,0.022,0.052,0.000,0.025,0.000,0.029,0.025,0.053,0.000,0.075,0.000,0.075,0.075,0.149,0.000
winequality-white-3-9_vs_5-5-fold,0.974,0.980,0.982,0.978,0.983,0.980,0.080,0.120,0.080,0.040,0.240,0.080,0.067,0.333,0.300,0.200,0.613,0.200,0.073,0.167,0.124,0.067,0.313,0.114,0.126,0.216,0.179,0.089,0.431,0.179
poker-8-9_vs_6-5-fold,0.984,0.991,0.991,0.991,0.991,0.991,0.120,0.600,0.560,0.560,0.560,0.560,0.600,0.833,0.820,0.827,0.860,0.920,0.200,0.687,0.655,0.652,0.667,0.684,0.268,0.769,0.732,0.737,0.733,0.746
shuttle-2_vs_5-5-fold,0.998,1.000,1.000,1.000,1.000,1.000,0.898,1.000,1.000,1.000,1.000,1.000,1.000,0.980,1.000,0.980,1.000,1.000,0.942,0.989,1.000,0.989,1.000,1.000,0.946,1.000,1.000,1.000,1.000,1.000
winequality-red-3_vs_5-5-fold,0.983,0.983,0.980,0.981,0.981,0.980,0.100,0.100,0.000,0.100,0.100,0.100,0.100,0.200,0.000,0.200,0.067,0.200,0.100,0.133,0.000,0.133,0.080,0.133,0.141,0.141,0.000,0.141,0.140,0.141
abalone-20_vs_8-9-10-5-fold,0.983,0.981,0.983,0.980,0.981,0.982,0.320,0.313,0.313,0.233,0.307,0.387,0.302,0.307,0.357,0.292,0.320,0.379,0.304,0.303,0.331,0.254,0.309,0.364,0.487,0.548,0.540,0.474,0.545,0.610
poker-8-9_vs_5-5-fold,0.985,0.982,0.984,0.986,0.982,0.984,0.080,0.040,0.000,0.040,0.000,0.000,0.107,0.050,0.000,0.200,0.000,0.000,0.090,0.044,0.000,0.067,0.000,0.000,0.178,0.089,0.000,0.089,0.000,0.000
poker-8_vs_6-5-fold,0.985,0.991,0.991,0.991,0.990,0.994,0.000,0.283,0.317,0.267,0.233,0.450,0.000,0.500,0.450,0.360,0.500,0.800,0.000,0.351,0.363,0.278,0.313,0.565,0.000,0.404,0.430,0.315,0.372,0.593
abalone19-5-fold,0.989,0.987,0.987,0.987,0.986,0.988,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.082,0.000
total wins,13.000,16.700,15.867,6.533,15.033,14.867,18.717,14.367,11.500,8.950,10.517,17.950,11.983,10.933,13.850,5.767,17.183,22.283,17.333,10.867,17.867,5.867,10.867,19.200,18.333,13.867,14.867,8.867,9.867,16.200
